# _tick,_time,frames,mean_episode_return_0,loss_0
5101,1718030097.544363,5356050,-0.0665351077914238,0.6921764016151428
5102,1718030097.9781585,5357100,-0.06625314801931381,0.7432693839073181
5103,1718030098.3947322,5358150,-0.06638772040605545,0.7156877517700195
5104,1718030098.8281896,5359200,-0.06601423770189285,0.7371441125869751
5105,1718030099.2278268,5360250,-0.06607002019882202,0.714080810546875
5106,1718030099.6447363,5361300,-0.06594321876764297,0.7590484619140625
5107,1718030100.0780883,5362350,-0.06527844071388245,0.7225561141967773
5108,1718030100.5111494,5363400,-0.06496980041265488,0.7535717487335205
5109,1718030100.944484,5364450,-0.06546144187450409,0.6932005286216736
5110,1718030101.3612647,5365500,-0.06537213176488876,0.7072932124137878
5111,1718030101.777954,5366550,-0.06511015444993973,0.7120317816734314
5112,1718030102.2114089,5367600,-0.06458722800016403,0.7048023343086243
5113,1718030102.6444476,5368650,-0.0643523707985878,0.6923637390136719
5114,1718030103.061217,5369700,-0.06338715553283691,0.7521533370018005
5115,1718030103.477807,5370750,-0.06330273300409317,0.7455167770385742
5116,1718030103.9111414,5371800,-0.06373134255409241,0.7036970853805542
5117,1718030104.327829,5372850,-0.06393920630216599,0.7188509702682495
5118,1718030104.7443774,5373900,-0.06453879177570343,0.6991194486618042
5119,1718030105.177792,5374950,-0.06467423588037491,0.7441824674606323
5120,1718030105.5944958,5376000,-0.06473056972026825,0.7367075681686401
5121,1718030106.0114422,5377050,-0.06522734463214874,0.7673330307006836
5122,1718030106.4280446,5378100,-0.0650232583284378,0.7368547320365906
5123,1718030106.8447092,5379150,-0.06577569991350174,0.7311891913414001
5124,1718030107.3278458,5380200,-0.06558080017566681,0.7177734375
5125,1718030107.8278055,5381250,-0.06621512770652771,0.7473085522651672
5126,1718030108.2780318,5382300,-0.0661759003996849,0.7222645282745361
5127,1718030108.7110171,5383350,-0.06498876214027405,0.7447956204414368
5128,1718030109.1610727,5384400,-0.06468728184700012,0.7253074645996094
5129,1718030109.577795,5385450,-0.06448196619749069,0.7230851054191589
5130,1718030109.977934,5386500,-0.06471256166696548,0.7243982553482056
5131,1718030110.4443796,5387550,-0.06458356976509094,0.724046528339386
5132,1718030110.8610122,5388600,-0.06402445584535599,0.7613750696182251
5133,1718030111.2778113,5389650,-0.06464932858943939,0.7157134413719177
5134,1718030111.6951115,5390700,-0.06404545903205872,0.7146338820457458
5135,1718030112.1444216,5391750,-0.06450052559375763,0.7244061827659607
5136,1718030112.5778134,5392800,-0.06435635685920715,0.7372676134109497
5137,1718030112.9943378,5393850,-0.06414182484149933,0.7212331295013428
5138,1718030113.4777346,5394900,-0.06446240097284317,0.7116221189498901
5139,1718030113.911096,5395950,-0.06506370007991791,0.679986834526062
5140,1718030114.3443854,5397000,-0.06527972966432571,0.7577479481697083
5141,1718030114.777574,5398050,-0.06517776846885681,0.7032303214073181
5142,1718030115.1946971,5399100,-0.06565920263528824,0.7023219466209412
5143,1718030115.6110544,5400150,-0.06561773270368576,0.7305834293365479
5144,1718030116.0277321,5401200,-0.06586533039808273,0.7125983834266663
5145,1718030116.460762,5402250,-0.06648195534944534,0.7429718375205994
5146,1718030116.8933334,5403300,-0.06721418350934982,0.7518743872642517
5147,1718030117.3291895,5404350,-0.06631060689687729,0.6746771335601807
5148,1718030117.7597654,5405400,-0.06655411422252655,0.7266302704811096
5149,1718030118.1829216,5406450,-0.06619646400213242,0.7469140887260437
5150,1718030118.6039948,5407500,-0.06677316874265671,0.7090840935707092
5151,1718030119.0277367,5408550,-0.06621364504098892,0.7550299167633057
5152,1718030119.4682806,5409600,-0.06577303260564804,0.7031543254852295
5153,1718030119.879275,5410650,-0.06694665551185608,0.7162446975708008
5154,1718030120.295286,5411700,-0.06594054400920868,0.7656362652778625
5155,1718030120.7219002,5412750,-0.06567556411027908,0.7543344497680664
5156,1718030121.1487732,5413800,-0.06517433375120163,0.7342259287834167
5157,1718030121.6392944,5414850,-0.06492549180984497,0.7560696601867676
5158,1718030122.1445725,5415900,-0.06477980315685272,0.7107020616531372
5159,1718030122.5993485,5416950,-0.06441514194011688,0.7321740984916687
5160,1718030123.0278416,5418000,-0.063764289021492,0.7083323001861572
5161,1718030123.4445875,5419050,-0.06458737701177597,0.690593421459198
5162,1718030123.879413,5420100,-0.0654919371008873,0.7187789082527161
5163,1718030124.3098502,5421150,-0.06525246798992157,0.735465407371521
5164,1718030124.7276285,5422200,-0.06523934006690979,0.6733297109603882
5165,1718030125.1535335,5423250,-0.06559232622385025,0.7379388809204102
5166,1718030125.5967612,5424300,-0.0652952492237091,0.7328673601150513
